# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-20)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	30.114	9.49e-12	61.6	90	gnl|DSMZ|unitig_0|quiver_consensus	5026124	5025612	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	55.714	3.57e-69	227	98	gnl|DSMZ|unitig_0|quiver_consensus	5846981	5846355	transporter
gnl|TC-DB|P76481|1.A.13.2.3	1.A.13.2.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P76481|1.A.13.2.3	51.709	1.08e-149	474	81	gnl|DSMZ|unitig_0|quiver_consensus	232614	233996	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	41.729	0.0	719	96	gnl|DSMZ|unitig_0|quiver_consensus	570054	566845	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	41.729	0.0	719	96	gnl|DSMZ|unitig_0|quiver_consensus	570054	566845	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	33.962	0.053	28.5	77	gnl|DSMZ|unitig_0|quiver_consensus	5591201	5591043	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	33.962	0.053	28.5	77	gnl|DSMZ|unitig_0|quiver_consensus	5591201	5591043	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	31.301	5.54e-36	133	96	gnl|DSMZ|unitig_0|quiver_consensus	1837861	1838598	transporter
gnl|TC-DB|P39063|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39063|1.A.30.1.4	35.096	4.57e-35	131	76	gnl|DSMZ|unitig_0|quiver_consensus	1837969	1838592	transporter
gnl|TC-DB|D4ZJA6|1.A.30.1.5	1.A.30.1.5	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|D4ZJA6|1.A.30.1.5	26.038	2.90e-23	97.8	90	gnl|DSMZ|unitig_0|quiver_consensus	5618859	5618092	transporter
gnl|TC-DB|D4ZJA6|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|D4ZJA6|1.A.30.1.6	26.038	2.90e-23	97.8	90	gnl|DSMZ|unitig_0|quiver_consensus	5618859	5618092	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	42.955	2.39e-61	208	98	gnl|DSMZ|unitig_0|quiver_consensus	649875	650744	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	62.553	3.37e-87	280	95	gnl|DSMZ|unitig_0|quiver_consensus	6877651	6878349	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	54.348	4.92e-78	253	97	gnl|DSMZ|unitig_0|quiver_consensus	5521972	5521283	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	49.206	4.82e-26	99.8	97	gnl|DSMZ|unitig_0|quiver_consensus	3980398	3980021	transporter
gnl|TC-DB|W9BH30|1.A.46.2.8	1.A.46.2.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|W9BH30|1.A.46.2.8	36.482	1.60e-56	194	99	gnl|DSMZ|unitig_0|quiver_consensus	4284913	4284026	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	31.841	1.50e-13	66.6	96	gnl|DSMZ|unitig_0|quiver_consensus	653674	654264	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	31.841	1.50e-13	66.6	96	gnl|DSMZ|unitig_0|quiver_consensus	653674	654264	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	71.223	2.93e-115	362	99	gnl|DSMZ|unitig_0|quiver_consensus	5629165	5629995	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	31.532	9.94e-18	80.1	87	gnl|DSMZ|unitig_0|quiver_consensus	1710784	1710137	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	31.667	2.25e-16	76.3	88	gnl|DSMZ|unitig_0|quiver_consensus	1710814	1710131	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	36.364	2.02e-33	126	93	gnl|DSMZ|unitig_0|quiver_consensus	1710799	1710110	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	33.047	2.53e-35	132	83	gnl|DSMZ|unitig_0|quiver_consensus	1710811	1710125	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	41.232	7.58e-19	83.6	85	gnl|DSMZ|unitig_0|quiver_consensus	27860	28426	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	34.940	3.94e-23	95.9	99	gnl|DSMZ|unitig_0|quiver_consensus	27860	28543	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	34.649	1.69e-24	99.0	100	gnl|DSMZ|unitig_0|quiver_consensus	1710793	1710113	transporter
gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	37.391	2.20e-30	117	78	gnl|DSMZ|unitig_0|quiver_consensus	5629249	5629935	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	27.972	4.11e-11	61.6	97	gnl|DSMZ|unitig_0|quiver_consensus	5629186	5629923	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	27.572	1.60e-11	61.6	91	gnl|DSMZ|unitig_0|quiver_consensus	5629192	5629881	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	29.630	5.49e-20	86.7	95	gnl|DSMZ|unitig_0|quiver_consensus	5629186	5629902	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	36.058	6.72e-18	80.5	81	gnl|DSMZ|unitig_0|quiver_consensus	5629192	5629794	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	30.544	4.75e-15	72.0	93	gnl|DSMZ|unitig_0|quiver_consensus	5629162	5629869	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	30.088	3.82e-15	72.8	82	gnl|DSMZ|unitig_0|quiver_consensus	5629174	5629797	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	28.689	1.74e-12	64.3	95	gnl|DSMZ|unitig_0|quiver_consensus	5629186	5629905	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	32.549	1.07e-22	94.7	97	gnl|DSMZ|unitig_0|quiver_consensus	5629186	5629911	transporter
gnl|TC-DB|B5L019|1.A.8.8.15	1.A.8.8.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|B5L019|1.A.8.8.15	36.889	8.58e-32	121	85	gnl|DSMZ|unitig_0|quiver_consensus	1710802	1710134	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	40.418	1.25e-56	194	94	gnl|DSMZ|unitig_0|quiver_consensus	5629135	5629989	transporter
gnl|TC-DB|806392255|1.A.8.9.10	1.A.8.9.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|806392255|1.A.8.9.10	35.088	2.64e-36	135	94	gnl|DSMZ|unitig_0|quiver_consensus	5629132	5629977	transporter
gnl|TC-DB|Q8WPZ6|1.A.8.9.13	1.A.8.9.13	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8WPZ6|1.A.8.9.13	35.081	1.67e-30	117	92	gnl|DSMZ|unitig_0|quiver_consensus	5629186	5629926	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.14	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	40.418	1.25e-56	194	94	gnl|DSMZ|unitig_0|quiver_consensus	5629135	5629989	transporter
gnl|TC-DB|ALA27401|1.A.8.9.17	1.A.8.9.17	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ALA27401|1.A.8.9.17	31.250	5.32e-29	115	89	gnl|DSMZ|unitig_0|quiver_consensus	5629054	5629938	transporter
gnl|TC-DB|Q388I5|1.A.8.9.19	1.A.8.9.19	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q388I5|1.A.8.9.19	32.114	2.58e-28	113	95	gnl|DSMZ|unitig_0|quiver_consensus	5629192	5629929	transporter
gnl|TC-DB|P56627|1.A.8.9.2	1.A.8.9.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P56627|1.A.8.9.2	36.177	4.95e-49	172	97	gnl|DSMZ|unitig_0|quiver_consensus	5629117	5629989	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.21	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	37.295	1.30e-41	151	94	gnl|DSMZ|unitig_0|quiver_consensus	5629192	5629923	transporter
gnl|TC-DB|F6QEC2|1.A.8.9.9	1.A.8.9.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|F6QEC2|1.A.8.9.9	36.264	2.15e-44	159	91	gnl|DSMZ|unitig_0|quiver_consensus	5629174	5629989	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	33.333	0.96	24.6	88	gnl|DSMZ|unitig_0|quiver_consensus	6522736	6522584	transporter
gnl|TC-DB|Q8G8W9|1.B.14.1.26	1.B.14.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8G8W9|1.B.14.1.26	59.391	0.0	969	97	gnl|DSMZ|unitig_0|quiver_consensus	180075	182423	transporter
gnl|TC-DB|P05825|1.B.14.1.22	1.B.14.1.22	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P05825|1.B.14.1.22	60.000	0.0	857	99	gnl|DSMZ|unitig_0|quiver_consensus	2817538	2815373	transporter
gnl|TC-DB|P33369|1.B.17.3.10	1.B.17.3.10	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P33369|1.B.17.3.10	29.812	5.19e-41	155	99	gnl|DSMZ|unitig_0|quiver_consensus	4548948	4547713	transporter
gnl|TC-DB|Q51485|1.B.19.1.1	1.B.19.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q51485|1.B.19.1.1	68.810	0.0	622	93	gnl|DSMZ|unitig_0|quiver_consensus	5273612	5272359	transporter
gnl|TC-DB|P71470|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71470|1.C.29.1.1	32.653	4.9	22.3	84	gnl|DSMZ|unitig_0|quiver_consensus	2160783	2160929	transporter
gnl|TC-DB|P71461|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71461|1.C.30.1.1	38.095	2.9	23.1	75	gnl|DSMZ|unitig_0|quiver_consensus	658765	658881	transporter
gnl|TC-DB|Q9HC98|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q9HC98|1.I.1.1.3	28.626	3.66e-26	107	83	gnl|DSMZ|unitig_0|quiver_consensus	6892521	6891766	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	lactose	EX_cpd00208_e0	rxn08779,rxn08781,rxn10169	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	maltose	EX_cpd00179_e0	rxn09673	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P37514|2.A.1.1.113	2.A.1.1.1	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|P37514|2.A.1.1.113	31.429	2.32e-56	199	98	gnl|DSMZ|unitig_0|quiver_consensus	806827	808080	transporter
gnl|TC-DB|P23585|2.A.1.1.111	2.A.1.1.111	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P23585|2.A.1.1.111	21.912	6.00e-09	57.0	89	gnl|DSMZ|unitig_0|quiver_consensus	806821	808176	transporter
gnl|TC-DB|Q9P3U6|2.A.1.1.112	2.A.1.1.112	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q9P3U6|2.A.1.1.112	22.573	0.009	37.0	75	gnl|DSMZ|unitig_0|quiver_consensus	806953	808176	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|C4B4V9|2.A.1.1.116	26.818	3.43e-23	101	91	gnl|DSMZ|unitig_0|quiver_consensus	806920	808170	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|C4B4V9|2.A.1.1.116	26.818	3.43e-23	101	91	gnl|DSMZ|unitig_0|quiver_consensus	806920	808170	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|C4B4V9|2.A.1.1.116	26.818	3.43e-23	101	91	gnl|DSMZ|unitig_0|quiver_consensus	806920	808170	transporter
gnl|TC-DB|A2R3H2|2.A.1.1.119	2.A.1.1.119	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|A2R3H2|2.A.1.1.119	24.883	4.21e-08	53.9	79	gnl|DSMZ|unitig_0|quiver_consensus	806992	808170	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.120	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|E1WAV3|2.A.1.1.120	25.740	5.58e-11	63.2	94	gnl|DSMZ|unitig_0|quiver_consensus	1684518	1685672	transporter
gnl|TC-DB|E1WAV4|2.A.1.1.121	2.A.1.1.121	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|E1WAV4|2.A.1.1.121	23.191	3.98e-19	89.0	98	gnl|DSMZ|unitig_0|quiver_consensus	806860	808188	transporter
gnl|TC-DB|AGG19156.1|2.A.1.1.122	2.A.1.1.122	sorbitol	EX_cpd00588_e0	rxn05648	gnl|TC-DB|AGG19156.1|2.A.1.1.122	24.439	8.43e-16	78.6	90	gnl|DSMZ|unitig_0|quiver_consensus	806920	808170	transporter
gnl|TC-DB|AIU41385.1|2.A.1.1.123	2.A.1.1.123	sorbitol	EX_cpd00588_e0	rxn05648	gnl|TC-DB|AIU41385.1|2.A.1.1.123	25.684	2.64e-19	90.1	92	gnl|DSMZ|unitig_0|quiver_consensus	806920	808236	transporter
gnl|TC-DB|A5LGM7|2.A.1.1.129	2.A.1.1.129	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|TC-DB|A5LGM7|2.A.1.1.129	20.356	1.10e-05	46.2	82	gnl|DSMZ|unitig_0|quiver_consensus	807055	808188	transporter
gnl|TC-DB|AIU34725.1|2.A.1.1.131	2.A.1.1.131	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|AIU34725.1|2.A.1.1.131	21.145	3.92e-12	67.0	85	gnl|DSMZ|unitig_0|quiver_consensus	806974	808197	transporter
gnl|TC-DB|OAY55788.1|2.A.1.1.136	2.A.1.1.136	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|OAY55788.1|2.A.1.1.136	20.554	0.13	33.1	77	gnl|DSMZ|unitig_0|quiver_consensus	1514891	1515973	transporter
gnl|TC-DB|OAY55788.1|2.A.1.1.136	2.A.1.1.136	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|OAY55788.1|2.A.1.1.136	20.554	0.13	33.1	77	gnl|DSMZ|unitig_0|quiver_consensus	1514891	1515973	transporter
gnl|TC-DB|OAY55788.1|2.A.1.1.136	2.A.1.1.136	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|OAY55788.1|2.A.1.1.136	20.554	0.13	33.1	77	gnl|DSMZ|unitig_0|quiver_consensus	1514891	1515973	transporter
gnl|TC-DB|O74969|2.A.1.1.21	2.A.1.1.21	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|O74969|2.A.1.1.21	25.664	3.47e-12	67.4	79	gnl|DSMZ|unitig_0|quiver_consensus	806953	808176	transporter
gnl|TC-DB|O74849|2.A.1.1.22	2.A.1.1.22	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|O74849|2.A.1.1.22	26.471	7.91e-11	63.2	79	gnl|DSMZ|unitig_0|quiver_consensus	806953	808176	transporter
gnl|TC-DB|Q92339|2.A.1.1.23	2.A.1.1.23	gluconate	EX_cpd00222_e0	rxn05571,rxn08609,rxn12363	gnl|TC-DB|Q92339|2.A.1.1.23	20.561	4.48e-07	50.8	76	gnl|DSMZ|unitig_0|quiver_consensus	806953	808176	transporter
