"","gene","rxn","name","ec","tc","qseqid","pident","evalue","bitscore","qcovs","stitle","sstart","send","pathway","status","pathway.status","complex","exception","complex.status","seed","rm","itmp"
"14","gnl_DSMZ_unitig_0_quiver_consensus_927822:928841","ACETOOHBUTSYN-RXN","2-aceto-2-hydroxy-butyrate synthase","2.2.1.6/4.1.3.18",NA,"UniRef90_A6W7N6",73.021,5.1e-142,441,99,"gnl_DSMZ_unitig_0_quiver_consensus",927822,928841,"|ILEUSYN-PWY|","good_blast","threshold",NA,0,1,"rxn00011",TRUE,14
"15","gnl_DSMZ_unitig_0_quiver_consensus_927816:928805","ACETOOHBUTSYN-RXN","2-aceto-2-hydroxy-butyrate synthase","2.2.1.6/4.1.3.18",NA,"UniRef90_B9KCI3",57.879,2.76e-119,375,97,"gnl_DSMZ_unitig_0_quiver_consensus",927816,928805,"|ILEUSYN-PWY|","good_blast","threshold",NA,0,1,"rxn00011",TRUE,15
"16","gnl_DSMZ_unitig_0_quiver_consensus_2073599:2072214","RXN0-1134","pyruvate dehydrogenase","1.2.4.1",NA,"UniRef90_P14218",38.004,9.7e-94,308,99,"gnl_DSMZ_unitig_0_quiver_consensus",2073599,2072214,"|PYRUVDEHYD-PWY|","good_blast","keyenzyme",NA,0,1,"rxn00011",FALSE,16
"17","gnl_DSMZ_unitig_0_quiver_consensus_1313710:1312358","RXN0-1134","pyruvate dehydrogenase","1.2.4.1",NA,"UniRef90_P21880",37.118,5.42e-82,274,98,"gnl_DSMZ_unitig_0_quiver_consensus",1313710,1312358,"|PYRUVDEHYD-PWY|","good_blast","keyenzyme",NA,0,1,"rxn00011",FALSE,17
"18","gnl_DSMZ_unitig_0_quiver_consensus_1313722:1312358","RXN0-1134","pyruvate dehydrogenase","1.2.4.1",NA,"UniRef90_P31052",36.306,2.32e-79,266,99,"gnl_DSMZ_unitig_0_quiver_consensus",1313722,1312358,"|PYRUVDEHYD-PWY|","good_blast","keyenzyme",NA,0,1,"rxn00011",TRUE,18
"19","gnl_DSMZ_unitig_0_quiver_consensus_1313728:1312370","RXN0-1134","pyruvate dehydrogenase","1.2.4.1",NA,"UniRef90_P0A9P0",37.013,3.24e-76,257,98,"gnl_DSMZ_unitig_0_quiver_consensus",1313728,1312370,"|PYRUVDEHYD-PWY|","good_blast","keyenzyme",NA,0,1,"rxn00011",TRUE,19
"20","gnl_DSMZ_unitig_0_quiver_consensus_2073617:2072214","RXN0-1134","pyruvate dehydrogenase","1.2.4.1",NA,"UniRef90_P0A9P0",34.043,5.75e-68,233,98,"gnl_DSMZ_unitig_0_quiver_consensus",2073617,2072214,"|PYRUVDEHYD-PWY|","good_blast","keyenzyme",NA,0,1,"rxn00011",TRUE,20
"21","gnl_DSMZ_unitig_0_quiver_consensus_2342887:2341502","RXN0-1134","pyruvate dehydrogenase","1.2.4.1",NA,"UniRef90_P21880",30.49,9.11e-59,206,98,"gnl_DSMZ_unitig_0_quiver_consensus",2342887,2341502,"|PYRUVDEHYD-PWY|","good_blast","keyenzyme",NA,0,1,"rxn00011",FALSE,21
"22","gnl_DSMZ_unitig_0_quiver_consensus_767133:767351","RXN-1781","1-sucrose:sucrose fructosyltransferase","2.4.1.99",NA,"UniRef50_A0A6M5FJF3",27.5,0.29,26.2,93,"gnl_DSMZ_unitig_0_quiver_consensus",767133,767351,"|PWY-822|","bad_blast",NA,NA,0,NA,"rxn00012",FALSE,22
"23","gnl_DSMZ_unitig_0_quiver_consensus_1286303:1285488","RXN0-5226","beta-N-acetylglucosaminidase","3.2.1.52/3.2.1.29/3.2.1.30",NA,"UniRef90_P96157",31.408,7.12e-26,105,78,"gnl_DSMZ_unitig_0_quiver_consensus",1286303,1285488,"|PWY0-1261|","bad_blast",NA,NA,0,NA,"rxn00016",FALSE,23
"24","gnl_DSMZ_unitig_0_quiver_consensus_2896155:2895370","2-NITROPROPANE-DIOXYGENASE-RXN","ethylnitronate monooxygenase","1.13.12.16/1.13.11.32",NA,"UniRef50_Q93M81",22.047,8.71e-06,43.5,89,"gnl_DSMZ_unitig_0_quiver_consensus",2896149,2895415,"|PWY-723|","bad_blast",NA,NA,0,NA,"rxn00019",FALSE,24
"25","gnl_DSMZ_unitig_0_quiver_consensus_1461178:1459841","RXN18C3-14","beta2-tomatinase","3.2.1.21",NA,"UniRef90_P12614",43.929,1.6e-103,335,94,"gnl_DSMZ_unitig_0_quiver_consensus",1461178,1459841,"|PWY18C3-5|","good_blast",NA,NA,0,1,"rxn00020",FALSE,25
"26","gnl_DSMZ_unitig_0_quiver_consensus_2127741:2129282","RXN0-5183","maltotriose glucosidase","3.2.1.20",NA,"UniRef90_Q9Z3R8",38.561,3.02e-83,280,90,"gnl_DSMZ_unitig_0_quiver_consensus",2127741,2129282,"|GLYCOCAT-PWY|","good_blast","full",NA,0,1,"rxn00022",FALSE,26
"27","gnl_DSMZ_unitig_0_quiver_consensus_1512483:1513994","RXN0-5183","maltotriose glucosidase","3.2.1.20",NA,"UniRef90_Q9Z3R8",36.685,2.06e-76,261,90,"gnl_DSMZ_unitig_0_quiver_consensus",1512483,1513994,"|GLYCOCAT-PWY|","good_blast","full",NA,0,1,"rxn00022",FALSE,27
"28","gnl_DSMZ_unitig_0_quiver_consensus_2566669:2565692","PORPHOBILSYNTH-RXN","porphobilinogen synthase","4.2.1.24",NA,"UniRef90_P54919",64.939,1.31e-124,390,98,"gnl_DSMZ_unitig_0_quiver_consensus",2566669,2565692,"|PWY-5188|","good_blast","full",NA,0,1,"rxn00029",FALSE,28
"29","gnl_DSMZ_unitig_0_quiver_consensus_783011:782280","RXN-11490","lychnose synthase","2.4.1.166",NA,"UniRef50_E8K328",24.818,2.91e-13,67.4,80,"gnl_DSMZ_unitig_0_quiver_consensus",783011,782280,"|PWY-6524|","bad_blast",NA,NA,0,NA,"rxn00031",FALSE,29
"30","gnl_DSMZ_unitig_0_quiver_consensus_1566447:1564822","CHOLINE-OXIDASE-RXN","choline oxidase","1.1.3.17",NA,"UniRef90_Q7X2H8",35.231,5.2e-67,233,96,"gnl_DSMZ_unitig_0_quiver_consensus",1566447,1564849,"|PWY-3721|","good_blast","full",NA,0,1,"rxn00032",FALSE,30
"31","gnl_DSMZ_unitig_0_quiver_consensus_2425931:2425347","RIBOFLAVIN-SYN-RXN","riboflavin synthase","2.5.1.9",NA,"UniRef90_P9WK35",54.545,1.34e-58,195,98,"gnl_DSMZ_unitig_0_quiver_consensus",2425931,2425347,"|PWY-6167|","bad_blast",NA,NA,0,NA,"rxn00048",FALSE,31
"32","gnl_DSMZ_unitig_0_quiver_consensus_1836953:1837408","RXN0-1483","bacterioferritin","1.16.3.1",NA,"sp|P0ABD3|BFR_ECOLI",46.053,1.43e-40,141,96,"gnl_DSMZ_unitig_0_quiver_consensus",1836953,1837408,"BACTERIOFERRITIN-PWY","bad_blast",NA,NA,0,NA,"rxn00056",FALSE,32
"33","gnl_DSMZ_unitig_0_quiver_consensus_1451468:1451497","rxn1","cytochrome-c oxidase","1.9.3.1",NA,"UniRef90_P14405",60,2.8,19.2,100,"gnl_DSMZ_unitig_0_quiver_consensus",1451468,1451497,"PWY1","bad_blast",NA,NA,1,1,"rxn00058",FALSE,33
"34","gnl_DSMZ_unitig_0_quiver_consensus_3182899:3184149","RXN-17351","RXN-17351","1.10.3.2",NA,"UniRef90_P07788",33.265,2.18e-69,239,89,"gnl_DSMZ_unitig_0_quiver_consensus",3182899,3184149,"|PWY-5466|","good_blast",NA,NA,0,1,"rxn00059",FALSE,34
"35","gnl_DSMZ_unitig_0_quiver_consensus_2569253:2568348","OHMETHYLBILANESYN-RXN","porphobilinogen deaminase","2.5.1.61/4.3.1.8",NA,"UniRef90_A1T3D3",58.958,9.28e-84,272,98,"gnl_DSMZ_unitig_0_quiver_consensus",2569253,2568348,"|PWY-5188|","good_blast","full",NA,0,1,"rxn00060",FALSE,35
"36","gnl_DSMZ_unitig_0_quiver_consensus_2569256:2568354","OHMETHYLBILANESYN-RXN","porphobilinogen deaminase","2.5.1.61/4.3.1.8",NA,"UniRef90_Q82E76",55.975,1.35e-79,261,97,"gnl_DSMZ_unitig_0_quiver_consensus",2569256,2568354,"|PWY-5188|","good_blast","full",NA,0,1,"rxn00060",TRUE,36
"37","gnl_DSMZ_unitig_0_quiver_consensus_2569262:2568354","OHMETHYLBILANESYN-RXN","porphobilinogen deaminase","2.5.1.61/4.3.1.8",NA,"UniRef90_Q747I1",43.648,2.99e-61,207,94,"gnl_DSMZ_unitig_0_quiver_consensus",2569262,2568354,"|PWY-5188|","good_blast","full",NA,0,1,"rxn00060",TRUE,37
"38","gnl_DSMZ_unitig_0_quiver_consensus_262948:262172","RXN-22326","phosphate ABC transporter","7.3.2.1/3.6.3.27",NA,"UniRef90_Q5Z293",75.676,5.14e-126,391,100,"gnl_DSMZ_unitig_0_quiver_consensus",262948,262172,"|PWY-8264|","good_blast",NA,NA,0,1,"rxn00062",FALSE,38
"39","gnl_DSMZ_unitig_0_quiver_consensus_262966:262172","RXN-22326","phosphate ABC transporter","7.3.2.1/3.6.3.27",NA,"UniRef90_Q7U6R4",59.041,2.59e-103,327,100,"gnl_DSMZ_unitig_0_quiver_consensus",262966,262172,"|PWY-8264|","good_blast",NA,NA,0,1,"rxn00062",TRUE,39
"40","gnl_DSMZ_unitig_0_quiver_consensus_589560:590696","ABC-malt-transporter","ABC-type maltose transporter","7.5.2.1/3.6.3.19",NA,"UniRef90_Q7N986",50.153,2.06e-97,314,96,"gnl_DSMZ_unitig_0_quiver_consensus",589560,590516,"EXC-STARCH-N27","good_blast",NA,NA,0,1,"rxn00062",FALSE,40
"41","gnl_DSMZ_unitig_0_quiver_consensus_2793258:2794313","ABC-malt-transporter","ABC-type maltose transporter","7.5.2.1/3.6.3.19",NA,"UniRef90_Q7N986",47.397,1.45e-89,291,96,"gnl_DSMZ_unitig_0_quiver_consensus",2793258,2794313,"EXC-STARCH-N27","good_blast",NA,NA,0,1,"rxn00062",FALSE,41
"42","gnl_DSMZ_unitig_0_quiver_consensus_263023:262172","RXN-22326","phosphate ABC transporter","7.3.2.1/3.6.3.27",NA,"UniRef90_Q63V79",53.521,2.31e-87,281,98,"gnl_DSMZ_unitig_0_quiver_consensus",263023,262172,"|PWY-8264|","good_blast",NA,NA,0,1,"rxn00062",TRUE,42
"43","gnl_DSMZ_unitig_0_quiver_consensus_851419:853269","TRANS-RXN-220","glucosyl-oleandomycin-exporting ATPase","7.6.2.2/3.6.3.44",NA,"UniRef90_Q89A97",26.626,9.66e-63,221,85,"gnl_DSMZ_unitig_0_quiver_consensus",851809,853263,"|PWY-6972|","good_blast",NA,NA,0,1,"rxn00062",FALSE,43
"44","gnl_DSMZ_unitig_0_quiver_consensus_1295933:1297354","TRANS-RXN-220","glucosyl-oleandomycin-exporting ATPase","7.6.2.2/3.6.3.44",NA,"UniRef90_Q89A97",24.948,8.76e-59,209,85,"gnl_DSMZ_unitig_0_quiver_consensus",1295933,1297354,"|PWY-6972|","good_blast",NA,NA,0,1,"rxn00062",FALSE,44
"45","gnl_DSMZ_unitig_0_quiver_consensus_232534:231848","RXN-18029","teichoic acid transporter","7.5.2.4/3.6.3.40",NA,"UniRef90_Q2G2L1",38.865,2.7e-51,177,95,"gnl_DSMZ_unitig_0_quiver_consensus",232534,231848,"|PWY-7815|","bad_blast",NA,NA,0,NA,"rxn00062",FALSE,45
"46","gnl_DSMZ_unitig_0_quiver_consensus_1024201:1025178","ABC-19-RXN","molybdate ABC transporter","7.3.2.5/3.6.3.29/3.6.3.35",NA,"UniRef90_Q47CB7",36.89,1.17e-43,158,88,"gnl_DSMZ_unitig_0_quiver_consensus",1024234,1025157,"|PWY-8171|","bad_blast",NA,NA,0,NA,"rxn00062",FALSE,46
"47","gnl_DSMZ_unitig_0_quiver_consensus_2512012:2511320","FERRIC-CHELATE-REDUCTASE-RXN","ferric chelate reductase","1.16.1.7",NA,"UniRef90_V5XKC3",34.375,1.62e-36,134,97,"gnl_DSMZ_unitig_0_quiver_consensus",2512012,2511320,"|PWY-5934|","bad_blast",NA,NA,0,NA,"rxn00068",FALSE,47
"48","gnl_DSMZ_unitig_0_quiver_consensus_493011:493616","GLUTAMATE-SYNTHASE-NADH-RXN","glutamate synthase (NADH-dependent)","1.4.1.14",NA,"sp|P0A8Y3|YIHX_ECOLI",26.344,1.85e-08,50.4,90,"gnl_DSMZ_unitig_0_quiver_consensus",493023,493562,"|GLUGLNSYN-PWY|","bad_blast",NA,NA,0,NA,"rxn00069",FALSE,48
"49","gnl_DSMZ_unitig_0_quiver_consensus_1313722:1312358","GLUTATHIONE-REDUCT-NADPH-RXN","glutathione reductase","1.8.1.7/1.6.4.2",NA,"UniRef90_P48639",31.92,2.71e-57,201,98,"gnl_DSMZ_unitig_0_quiver_consensus",1313713,1312397,"|PWY-4081|","good_blast",NA,NA,0,1,"rxn00070",FALSE,49
"50","gnl_DSMZ_unitig_0_quiver_consensus_2324426:2324968","DUTP-PYROP-RXN","dUTP diphosphatase","3.6.1.23/3.6.1.9/3.6.1.19",NA,"UniRef90_A4X378",56.522,6.64e-49,168,77,"gnl_DSMZ_unitig_0_quiver_consensus",2324426,2324968,"|PWY-6545|","bad_blast",NA,NA,0,NA,"rxn00076",FALSE,50
"51","gnl_DSMZ_unitig_0_quiver_consensus_1825511:1824624","NAD-KIN-RXN","NAD kinase","/2.7.1.23",NA,"UniRef90_C1ASY3",50.485,8.33e-90,290,96,"gnl_DSMZ_unitig_0_quiver_consensus",1825511,1824624,"|NADPHOS-DEPHOS-PWY-1|","good_blast","full",NA,0,1,"rxn00077",FALSE,51
"52","gnl_DSMZ_unitig_0_quiver_consensus_1825511:1824618","NAD-KIN-RXN","NAD kinase","/2.7.1.23",NA,"UniRef90_Q5YY98",49.196,1.4e-83,272,95,"gnl_DSMZ_unitig_0_quiver_consensus",1825511,1824618,"|NADPHOS-DEPHOS-PWY-1|","good_blast","full",NA,0,1,"rxn00077",TRUE,52
"53","gnl_DSMZ_unitig_0_quiver_consensus_1825511:1824624","NADH-KINASE-RXN","NADH kinase","/2.7.1.86/2.7.1.96",NA,"UniRef50_Q8NQM1",51.254,1.28e-80,262,95,"gnl_DSMZ_unitig_0_quiver_consensus",1825445,1824630,"|PWY-5083|","good_blast",NA,NA,0,1,"rxn00078",FALSE,53
"54","gnl_DSMZ_unitig_0_quiver_consensus_2940913:2940041","NADH-KINASE-RXN","NADH kinase","/2.7.1.86/2.7.1.96",NA,"UniRef50_A0A2D6PZ23",49.66,3.93e-73,241,95,"gnl_DSMZ_unitig_0_quiver_consensus",2940913,2940041,"|PWY-5083|","good_blast",NA,NA,0,1,"rxn00078",FALSE,54
"55","gnl_DSMZ_unitig_0_quiver_consensus_186552:185587","NADH-KINASE-RXN","NADH kinase","/2.7.1.86/2.7.1.96",NA,"UniRef50_A0A7W1Q352",47.531,6.83e-70,232,98,"gnl_DSMZ_unitig_0_quiver_consensus",186552,185587,"|PWY-5083|","good_blast",NA,NA,0,1,"rxn00078",FALSE,55
"56","gnl_DSMZ_unitig_0_quiver_consensus_186561:185608","NADH-KINASE-RXN","NADH kinase","/2.7.1.86/2.7.1.96",NA,"UniRef50_A0A0Q5BBW9",38.095,5.91e-64,216,98,"gnl_DSMZ_unitig_0_quiver_consensus",186561,185608,"|PWY-5083|","good_blast",NA,NA,0,1,"rxn00078",TRUE,56
"57","gnl_DSMZ_unitig_0_quiver_consensus_2940919:2940044","NADH-KINASE-RXN","NADH kinase","/2.7.1.86/2.7.1.96",NA,"UniRef50_A0A7Y6AFH3",52.901,2.49e-62,210,99,"gnl_DSMZ_unitig_0_quiver_consensus",2940919,2940044,"|PWY-5083|","good_blast",NA,NA,0,1,"rxn00078",TRUE,57
"58","gnl_DSMZ_unitig_0_quiver_consensus_2073608:2072199","PYRNUTRANSHYDROGEN-RXN","NAD(P) transhydrogenase","1.6.1.1/1.6.1.3",NA,"UniRef90_A5U665",31.237,3.1e-52,187,100,"gnl_DSMZ_unitig_0_quiver_consensus",2073608,2072199,"|PWY-5083|","bad_blast",NA,NA,0,NA,"rxn00083",FALSE,58
"59","gnl_DSMZ_unitig_0_quiver_consensus_150243:151553","GLUTAMATESYN-RXN","glutamate synthase","1.4.1.13/2.6.1.53",NA,"UniRef90_P95544",55.909,1.43e-159,496,98,"gnl_DSMZ_unitig_0_quiver_consensus",150243,151553,"|GLUTAMINEFUM-PWY|","good_blast","full",NA,0,1,"rxn00085",FALSE,59
"60","gnl_DSMZ_unitig_0_quiver_consensus_1313722:1312358","GLUTATHIONE-REDUCT-NADPH-RXN","glutathione reductase","1.8.1.7/1.6.4.2",NA,"UniRef90_P48639",31.92,2.71e-57,201,98,"gnl_DSMZ_unitig_0_quiver_consensus",1313713,1312397,"|PWY-4081|","good_blast",NA,NA,0,1,"rxn00086",FALSE,60
"61","gnl_DSMZ_unitig_0_quiver_consensus_1880080:1878980","ACID-PHOSPHATASE-RXN","purple acid phosphatase","3.1.3.2",NA,"tr|C1AUE5|C1AUE5_RHOOB",41.287,4.34e-58,201,97,"gnl_DSMZ_unitig_0_quiver_consensus",1880080,1878980,"|PWY-6348|","good_blast","full",NA,0,1,"rxn00088",FALSE,61
"62","gnl_DSMZ_unitig_0_quiver_consensus_563599:564147","ADENYL-KIN-RXN","AMP kinase","2.7.4.3",NA,"UniRef90_Q6AD15",61.749,2.23e-60,200,92,"gnl_DSMZ_unitig_0_quiver_consensus",563599,564147,"|PWY-7219|","good_blast","full",NA,0,1,"rxn00097",FALSE,62
"63","gnl_DSMZ_unitig_0_quiver_consensus_1708559:1707369","DEPHOSPHOCOAKIN-RXN","dephospho-CoA kinase","2.7.1.24",NA,"UniRef90_Q50178",45.673,9.68e-90,294,99,"gnl_DSMZ_unitig_0_quiver_consensus",1708559,1707369,"|COA-PWY|","good_blast","keyenzyme",NA,0,1,"rxn00100",FALSE,63
"64","gnl_DSMZ_unitig_0_quiver_consensus_1708559:1707363","DEPHOSPHOCOAKIN-RXN","dephospho-CoA kinase","2.7.1.24",NA,"UniRef90_P9WPA3",47.343,2.82e-81,269,100,"gnl_DSMZ_unitig_0_quiver_consensus",1708559,1707363,"|COA-PWY|","good_blast","keyenzyme",NA,0,1,"rxn00100",TRUE,64
"65","gnl_DSMZ_unitig_0_quiver_consensus_1773495:1772338","FORMATE-DEHYDROGENASE-NADP+-RXN","NADP-dependent formate dehydrogenase","1.17.1.10",NA,"UniRef90_O35033",38.205,1.68e-58,203,90,"gnl_DSMZ_unitig_0_quiver_consensus",1773495,1772338,"|CODH-PWY|","good_blast",NA,NA,0,1,"rxn00103",FALSE,65
"66","gnl_DSMZ_unitig_0_quiver_consensus_269480:267411","POLYPHOSPHATE-KINASE-RXN","polyphosphate kinase","2.7.4.1",NA,"UniRef90_B2HII5",57.925,0,718,93,"gnl_DSMZ_unitig_0_quiver_consensus",269480,267411,"|PWY-8138|","good_blast","full",NA,0,1,"rxn00104",FALSE,66
"67","gnl_DSMZ_unitig_0_quiver_consensus_1111379:1111933","NICONUCADENYLYLTRAN-RXN","nicotinate nucleotide adenylyltransferase","2.7.7.18",NA,"UniRef90_A0JXJ4",79.459,8.77e-97,305,89,"gnl_DSMZ_unitig_0_quiver_consensus",1111379,1111933,"|PWY3O-4107|","good_blast","threshold",NA,0,1,"rxn00105",FALSE,67
"68","gnl_DSMZ_unitig_0_quiver_consensus_1111364:1111948","NICONUCADENYLYLTRAN-RXN","nicotinate nucleotide adenylyltransferase","2.7.7.18",NA,"UniRef90_A1TC03",67.822,2.28e-86,275,94,"gnl_DSMZ_unitig_0_quiver_consensus",1111364,1111948,"|PWY3O-4107|","good_blast","threshold",NA,0,1,"rxn00105",TRUE,68
"69","gnl_DSMZ_unitig_0_quiver_consensus_2647799:2648278","INORGPYROPHOSPHAT-RXN","diphosphate phosphatase","3.6.1.1",NA,"UniRef90_P9WI55",66.25,2.13e-69,224,99,"gnl_DSMZ_unitig_0_quiver_consensus",2647799,2648278,"|PWY-7805|","good_blast",NA,NA,0,1,"rxn00106",FALSE,69
"70","gnl_DSMZ_unitig_0_quiver_consensus_2080927:2080511","GDPKIN-RXN","GDP kinase","2.7.4.6",NA,"UniRef90_A4T2J0",59.286,3.42e-49,165,100,"gnl_DSMZ_unitig_0_quiver_consensus",2080927,2080511,"|PPGPPMET-PWY|","bad_blast",NA,NA,0,NA,"rxn00107",FALSE,70
"71","gnl_DSMZ_unitig_0_quiver_consensus_2656460:2655870","DTMPKI-RXN","dTMP kinase","2.7.4.12/2.7.4.13/2.7.4.9",NA,"UniRef90_Q8G6Z6",51.98,3.59e-60,199,98,"gnl_DSMZ_unitig_0_quiver_consensus",2656460,2655870,"|PWY-6545|","bad_blast",NA,NA,0,NA,"rxn00108",FALSE,71
"72","gnl_DSMZ_unitig_0_quiver_consensus_1774397:1773876","GMKALT-RXN","dGMP kinase","2.7.4.13/2.7.4.12",NA,"UniRef50_Q5QYH9",44.318,1.04e-37,135,84,"gnl_DSMZ_unitig_0_quiver_consensus",1774397,1773876,"|PWY-7224|","bad_blast",NA,NA,0,NA,"rxn00108",FALSE,72
"73","gnl_DSMZ_unitig_0_quiver_consensus_1843049:1842189","RXN-14196","carbamate kinase","2.7.2.2",NA,"UniRef90_P59625",25.685,0.066,32,90,"gnl_DSMZ_unitig_0_quiver_consensus",1842989,1842288,"|ARGDEGRAD-PWY2|","bad_blast",NA,NA,0,NA,"rxn00114",FALSE,73
"74","gnl_DSMZ_unitig_0_quiver_consensus_2080927:2080511","GDPKIN-RXN","GDP kinase","2.7.4.6",NA,"UniRef90_A4T2J0",59.286,3.42e-49,165,100,"gnl_DSMZ_unitig_0_quiver_consensus",2080927,2080511,"|PPGPPMET-PWY|","bad_blast",NA,NA,0,NA,"rxn00117",FALSE,74
"75","gnl_DSMZ_unitig_0_quiver_consensus_1011055:1011774","RXN-12002","UMP kinase","2.7.4.22/2.7.4.14/2.7.4.5",NA,"UniRef90_A5CQS6",71.25,1.28e-108,340,99,"gnl_DSMZ_unitig_0_quiver_consensus",1011055,1011774,"|PWY-7176|","good_blast",NA,NA,0,1,"rxn00119",FALSE,75
"76","gnl_DSMZ_unitig_0_quiver_consensus_1011073:1011777","RXN-12002","UMP kinase","2.7.4.22/2.7.4.14/2.7.4.5",NA,"UniRef90_A1SLQ8",71.489,4.34e-103,324,99,"gnl_DSMZ_unitig_0_quiver_consensus",1011073,1011777,"|PWY-7176|","good_blast",NA,NA,0,1,"rxn00119",TRUE,76
"77","gnl_DSMZ_unitig_0_quiver_consensus_1011019:1011771","RXN-12002","UMP kinase","2.7.4.22/2.7.4.14/2.7.4.5",NA,"UniRef90_A1T784",62.55,8.02e-100,315,99,"gnl_DSMZ_unitig_0_quiver_consensus",1011019,1011771,"|PWY-7176|","good_blast",NA,NA,0,1,"rxn00119",TRUE,77
